task,layer,scale,precision,recall,f1,boundary_f1,notes
task3,12,0.5,0.0035087719298245615,0.004914004914004914,0.0040941658137154556,0.0040941658137154556,steering
task3,12,1.0,0.003484320557491289,0.004914004914004914,0.004077471967380224,0.004077471967380224,steering
task3,12,1.5,0.003484320557491289,0.004914004914004914,0.004077471967380224,0.004077471967380224,steering
task3,13,0.5,0.0035026269702276708,0.004914004914004914,0.00408997955010225,0.00408997955010225,steering
task3,13,1.0,0.0035460992907801418,0.004914004914004914,0.004119464469618949,0.004119464469618949,steering
task3,13,1.5,0.0035650623885918,0.004914004914004914,0.004132231404958677,0.004132231404958677,steering
task3,14,0.5,0.0034965034965034965,0.004914004914004914,0.0040858018386108275,0.0040858018386108275,steering
task3,14,1.0,0.0035026269702276708,0.004914004914004914,0.00408997955010225,0.00408997955010225,steering
task3,14,1.5,0.0034965034965034965,0.004914004914004914,0.0040858018386108275,0.0040858018386108275,steering
task3,15,0.5,0.0034662045060658577,0.004914004914004914,0.0040650406504065045,0.0040650406504065045,steering
task3,15,1.0,0.0035149384885764497,0.004914004914004914,0.004098360655737705,0.004098360655737705,steering
task3,15,1.5,0.0034782608695652175,0.004914004914004914,0.004073319755600815,0.004073319755600815,steering
task3,16,0.5,0.0034662045060658577,0.004914004914004914,0.0040650406504065045,0.0040650406504065045,steering
task3,16,1.0,0.0034782608695652175,0.004914004914004914,0.004073319755600815,0.004073319755600815,steering
task3,16,1.5,0.003484320557491289,0.004914004914004914,0.004077471967380224,0.004077471967380224,steering
