category,f1_gain,boundary_f1_gain,precision_gain,recall_gain
abbrev,0.07737556561085976,0.1642533936651584,0.14074074074074072,0.03972125435540072
ambiguous,0.281305114638448,0.281305114638448,0.4092987804878049,0.20192307692307693
misspell,0.10256410256410259,0.25641025641025644,0.19791666666666669,0.03623188405797101
multilingual,0.5494750949296404,0.543444270716998,0.5717255717255718,0.5091137649277184
nested,0.2444444444444444,0.307936507936508,0.21291866028708134,0.27307692307692305
original,0.21359453687346758,0.18294354945025976,0.2777626276399115,0.16373411534701854
all,0.23292739144896157,0.2481808474012523,0.29153908138597906,0.18498682445253328
adversarial_all,0.2485822797981374,0.3049269028666562,0.30012442232492004,0.2046117461568782
