entity_type,early_mean,late_mean,late_minus_early,conclusion
LOC,-1.2651694596602023e-08,-2.7923617929273223e-09,9.859332803674701e-09,late>early
MISC,2.4679899543827294e-06,3.1818920316769366e-07,-2.149800751215036e-06,early>late
ORG,1.426005647295998e-06,5.226048406186711e-07,-9.034008066773269e-07,early>late
PER,-5.43429303498239e-08,1.0550887006432512e-07,1.5985180041414904e-07,late>early
