layer,mean_activation_bytes,mean_activation_mb,param_bytes,param_mb
0,346460,0.33041015625,3087428608,2944.4013671875
1,346460,0.33041015625,3087428608,2944.4013671875
2,346460,0.33041015625,3087428608,2944.4013671875
3,346460,0.33041015625,3087428608,2944.4013671875
4,346460,0.33041015625,3087428608,2944.4013671875
5,346460,0.33041015625,3087428608,2944.4013671875
6,346460,0.33041015625,3087428608,2944.4013671875
7,346460,0.33041015625,3087428608,2944.4013671875
8,346460,0.33041015625,3087428608,2944.4013671875
9,346460,0.33041015625,3087428608,2944.4013671875
10,346460,0.33041015625,3087428608,2944.4013671875
11,346460,0.33041015625,3087428608,2944.4013671875
12,346460,0.33041015625,3087428608,2944.4013671875
13,346460,0.33041015625,3087428608,2944.4013671875
14,346460,0.33041015625,3087428608,2944.4013671875
15,346460,0.33041015625,3087428608,2944.4013671875
16,346460,0.33041015625,3087428608,2944.4013671875
17,346460,0.33041015625,3087428608,2944.4013671875
18,346460,0.33041015625,3087428608,2944.4013671875
19,346460,0.33041015625,3087428608,2944.4013671875
20,346460,0.33041015625,3087428608,2944.4013671875
21,346460,0.33041015625,3087428608,2944.4013671875
22,346460,0.33041015625,3087428608,2944.4013671875
23,346460,0.33041015625,3087428608,2944.4013671875
24,346460,0.33041015625,3087428608,2944.4013671875
25,346460,0.33041015625,3087428608,2944.4013671875
26,346460,0.33041015625,3087428608,2944.4013671875
27,346460,0.33041015625,3087428608,2944.4013671875
